"Date","Price","Open","High","Low","Change %"
"Mar 31, 2020","-0.650","-0.717","-0.626","-0.748","-5.66%"
"Mar 30, 2020","-0.689","-0.685","-0.658","-0.881","-1.85%"
"Mar 27, 2020","-0.702","-0.626","-0.600","-0.920","14.89%"
"Mar 26, 2020","-0.611","-0.645","-0.562","-0.679","-3.63%"
"Mar 25, 2020","-0.634","-0.615","-0.557","-0.674","4.97%"
"Mar 24, 2020","-0.604","-0.678","-0.600","-0.723","-12.21%"
"Mar 23, 2020","-0.688","-0.703","-0.659","-0.745","4.56%"
"Mar 20, 2020","-0.658","-0.933","-0.633","-1.305","-6.93%"
"Mar 19, 2020","-0.707","-0.865","-0.641","-0.979","-3.81%"
"Mar 18, 2020","-0.735","-0.790","-0.677","-0.922","-6.49%"
"Mar 17, 2020","-0.786","-0.799","-0.764","-0.889","-3.32%"
"Mar 16, 2020","-0.813","-0.887","-0.800","-0.897","0.62%"
"Mar 13, 2020","-0.808","-0.816","-0.798","-1.018","-6.26%"
"Mar 12, 2020","-0.862","-0.885","-0.797","-0.947","-0.69%"
"Mar 11, 2020","-0.868","-0.828","-0.813","-0.944","3.70%"
"Mar 10, 2020","-0.837","-0.844","-0.771","-1.015","-4.56%"
"Mar 09, 2020","-0.877","-0.762","-0.758","-0.946","11.79%"
"Mar 07, 2020","-0.785","-0.785","-0.785","-0.785","4.46%"
"Mar 06, 2020","-0.751","-0.758","-0.740","-0.813","0.94%"
"Mar 05, 2020","-0.744","-0.719","-0.719","-0.791","1.36%"
"Mar 04, 2020","-0.734","-0.732","-0.712","-0.772","2.37%"
"Mar 03, 2020","-0.717","-0.723","-0.685","-0.770","-1.78%"
"Mar 02, 2020","-0.730","-0.748","-0.719","-0.909","2.53%"
"Feb 28, 2020","-0.712","-0.713","-0.701","-0.913","2.15%"
"Feb 27, 2020","-0.697","-0.685","-0.630","-0.726","3.57%"
"Feb 26, 2020","-0.673","-0.669","-0.652","-0.921","0.60%"
"Feb 25, 2020","-0.669","-0.647","-0.634","-0.752","2.76%"
"Feb 24, 2020","-0.651","-0.626","-0.603","-0.658","2.84%"
"Feb 22, 2020","-0.633","-0.633","-0.633","-0.633","2.26%"
"Feb 21, 2020","-0.619","-0.618","-0.600","-0.629","0.16%"
"Feb 20, 2020","-0.618","-0.614","-0.607","-0.626","2.15%"
"Feb 19, 2020","-0.605","-0.597","-0.568","-0.607","0.00%"
"Feb 18, 2020","-0.605","-0.612","-0.584","-0.659","-0.49%"
"Feb 17, 2020","-0.608","-0.602","-0.582","-0.612","0.83%"
"Feb 14, 2020","-0.603","-0.600","-0.580","-0.613","0.33%"
"Feb 13, 2020","-0.601","-0.599","-0.581","-0.605","1.35%"
"Feb 12, 2020","-0.593","-0.582","-0.565","-0.702","-1.00%"
"Feb 11, 2020","-0.599","-0.591","-0.560","-0.854","2.92%"
"Feb 10, 2020","-0.582","-0.597","-0.575","-0.898","-2.68%"
"Feb 07, 2020","-0.598","-0.580","-0.561","-0.599","3.46%"
"Feb 06, 2020","-0.578","-0.578","-0.566","-0.592","-0.86%"
"Feb 05, 2020","-0.583","-0.588","-0.569","-0.743","-0.68%"
"Feb 04, 2020","-0.587","-0.598","-0.579","-0.616","-2.00%"
"Feb 03, 2020","-0.599","-0.585","-0.580","-0.619","-0.50%"
"Jan 31, 2020","-0.602","-0.592","-0.577","-0.632","1.69%"
"Jan 30, 2020","-0.592","-0.585","-0.584","-0.618","-1.50%"
"Jan 29, 2020","-0.601","-0.578","-0.576","-0.613","1.86%"
"Jan 28, 2020","-0.590","-0.596","-0.576","-0.605","-1.17%"
"Jan 27, 2020","-0.597","-0.590","-0.578","-0.609","0.67%"
"Jan 24, 2020","-0.593","-0.582","-0.569","-0.595","1.72%"
"Jan 23, 2020","-0.583","-0.579","-0.559","-0.594","0.34%"
"Jan 22, 2020","-0.581","-0.580","-0.566","-0.588","0.52%"
"Jan 21, 2020","-0.578","-0.544","-0.539","-0.584","-0.34%"
"Jan 20, 2020","-0.580","-0.546","-0.542","-0.587","6.03%"
"Jan 17, 2020","-0.547","-0.547","-0.546","-0.588","0.18%"
"Jan 16, 2020","-0.546","-0.546","-0.546","-0.592","-0.55%"
"Jan 15, 2020","-0.549","-0.546","-0.545","-0.588","-5.18%"
"Jan 14, 2020","-0.579","-0.547","-0.545","-0.585","5.46%"
"Jan 13, 2020","-0.549","-0.557","-0.547","-0.593","-7.11%"
"Jan 10, 2020","-0.591","-0.561","-0.556","-0.595","0.17%"
"Jan 09, 2020","-0.590","-0.590","-0.559","-0.612","-2.32%"
"Jan 08, 2020","-0.604","-0.586","-0.568","-0.625","-1.47%"
"Jan 07, 2020","-0.613","-0.594","-0.580","-0.621","1.49%"
"Jan 06, 2020","-0.604","-0.593","-0.587","-0.626","-1.31%"
"Jan 03, 2020","-0.612","-0.585","-0.584","-0.641","0.99%"
"Jan 02, 2020","-0.606","-0.628","-0.569","-0.653","-7.62%"
"Jan 01, 2020","-0.656","-0.668","-0.656","-0.668","3.31%"
"Dec 31, 2019","-0.635","-0.635","-0.635","-0.635","0.32%"
