Date,Open,High,Low,Close,Adj Close,Volume
2011-03-31,15.125000,15.160000,14.790000,14.955000,12.251600,4522410
2011-04-01,15.050000,15.210000,14.825000,15.000000,12.288465,4130182
2011-04-04,15.020000,15.025000,14.805000,14.880000,12.190158,2855241
2011-04-05,14.845000,14.880000,14.535000,14.770000,12.100043,3424333
2011-04-06,14.830000,15.035000,14.660000,14.940000,12.239309,2968610
2011-04-07,14.950000,15.060000,14.785000,14.820000,12.141004,2530427
2011-04-08,14.875000,14.890000,14.570000,14.725000,12.063177,3203075
2011-04-11,14.640000,14.760000,14.430000,14.510000,11.887042,3244348
2011-04-12,14.450000,14.965000,14.425000,14.880000,12.190158,5673160
2011-04-13,14.935000,15.125000,14.815000,15.020000,12.304851,3934129
2011-04-14,14.990000,15.070000,14.810000,15.025000,12.308946,2487425
2011-04-15,15.050000,15.115000,14.960000,14.985000,12.276176,3029347
2011-04-18,15.015000,15.035000,14.600000,14.680000,12.026311,3285033
2011-04-19,14.750000,14.880000,14.610000,14.700000,12.042696,2726390
2011-04-20,14.865000,15.095000,14.835000,14.965000,12.259792,3483750
2011-04-21,14.980000,15.030000,14.810000,14.940000,12.239309,2658806
2011-04-26,14.970000,15.175000,14.930000,15.075000,12.349907,2515234
2011-04-27,15.240000,15.565000,15.190000,15.500000,12.698081,6044873
2011-04-28,15.600000,15.620000,15.285000,15.400000,12.616158,3709852
2011-04-29,15.315000,15.375000,15.160000,15.320000,12.550619,3669705
2011-05-02,15.500000,15.690000,15.160000,15.170000,12.427734,9059463
2011-05-03,15.160000,15.255000,15.100000,15.205000,12.456409,11380238
2011-05-04,14.750000,14.800000,14.310000,14.495000,12.362591,7128433
2011-05-05,14.450000,14.695000,14.230000,14.670000,12.511846,8541514
2011-05-06,15.025000,15.595000,14.950000,15.270000,13.023579,11514181
2011-05-09,15.145000,15.285000,14.950000,15.070000,12.853000,3888650
2011-05-10,15.130000,15.385000,15.075000,15.200000,12.963875,3131248
2011-05-11,15.310000,15.450000,15.155000,15.290000,13.040635,3140896
2011-05-12,15.290000,15.655000,15.210000,15.655000,13.351939,5918764
2011-05-13,15.680000,15.805000,15.480000,15.530000,13.245329,3455169
2011-05-16,15.420000,15.745000,15.310000,15.675000,13.368998,3087731
2011-05-17,15.665000,15.790000,15.500000,15.530000,13.245329,3530644
2011-05-18,15.600000,15.715000,15.335000,15.570000,13.279444,2735710
2011-05-19,15.640000,15.780000,15.435000,15.620000,13.322088,3533591
2011-05-20,15.595000,15.775000,15.485000,15.575000,13.283708,5508775
2011-05-23,15.120000,15.135000,14.810000,15.025000,12.814620,5049406
2011-05-24,15.000000,15.105000,14.760000,14.805000,12.626986,3937855
2011-05-25,14.700000,15.065000,14.575000,14.970000,12.767712,4144039
2011-05-26,15.050000,15.175000,14.795000,14.910000,12.716538,2430490
2011-05-27,15.020000,15.130000,14.945000,15.000000,12.793298,2321409
2011-05-30,15.060000,15.190000,14.950000,15.035000,12.823150,1250713
2011-05-31,15.125000,15.260000,15.060000,15.140000,12.912704,2288060
2011-06-01,15.295000,15.300000,15.025000,15.070000,12.853000,2288370
2011-06-02,14.930000,14.950000,14.700000,14.745000,12.575811,2756241
2011-06-03,14.800000,14.860000,14.475000,14.680000,12.520375,2785019
2011-06-06,14.530000,14.570000,14.430000,14.535000,12.396705,2709918
2011-06-07,14.525000,14.550000,14.350000,14.440000,12.315681,2807923
2011-06-08,14.345000,14.365000,14.020000,14.110000,12.034229,4610396
2011-06-09,14.035000,14.180000,13.885000,14.080000,12.008642,3420237
